sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
前鎮,高雄市,37,,良好,3.6,1.03,0.3,15,20,7,22.3,38.3,16,0.2,135,"2023/07/26 20:00:00",0.6,10.3,19,2,120.30833356,22.6044507,57
小港,高雄市,33,,良好,2.9,0.33,3.2,16.4,11,4,18.7,21.3,2.6,1.3,157,"2023/07/26 20:00:00",0.3,10.2,15,1,120.337736,22.565833,58
屏東,屏東縣,19,,良好,0.9,0.33,11.8,16.5,6,4,8.2,9.6,1.4,1.3,122,"2023/07/26 20:00:00",0.3,6,7,0,120.488033,22.673081,59
潮州,屏東縣,15,,良好,0.3,0.07,15.4,16.3,1,1,0.6,1.3,0.7,0.4,282,"2023/07/26 20:00:00",0,1.5,3,0,120.561175,22.523108,60
恆春,屏東縣,23,,良好,0.3,0.07,21.1,19.6,29,8,0.1,0.6,0.5,6.4,71,"2023/07/26 20:00:00",0,5.5,23,0,120.788928,21.958069,61
臺東,臺東縣,23,,良好,1.2,0.07,19.3,18,18,7,2,2.5,0.4,2.2,3,"2023/07/26 20:00:00",0,7,16,0,121.15045,22.755358,62
花蓮,花蓮縣,14,,良好,0.3,0.18,13.9,15,13,5,4.2,4.8,0.5,1.2,72,"2023/07/26 20:00:00",0.1,3.4,9,0,121.599769,23.971306,63
陽明,臺北市,15,,良好,0,0.1,17.1,16.1,2,,1,1.5,0.4,,,"2023/07/26 20:00:00",0,,3,0,121.529583,25.182722,64
宜蘭,宜蘭縣,32,,良好,0.4,0.1,18.6,17.3,34,8,2.1,3,0.8,3.3,126,"2023/07/26 20:00:00",0.1,9.8,27,0,121.746394,24.747917,65
冬山,宜蘭縣,19,,良好,0.5,0.1,16.5,13.7,24,3,2.4,3.1,0.6,6.7,112,"2023/07/26 20:00:00",0.1,3.5,19,0,121.792928,24.632203,66
三重,新北市,27,,良好,0.3,0.59,5.6,4.4,15,5,13.4,35.4,21.9,-,-,"2023/07/26 20:00:00",0.6,8.2,16,0,121.493806,25.072611,67
中壢,桃園市,17,,良好,,0.78,6.5,7.6,10,5,10.6,36,25.3,1.4,281,"2023/07/26 20:00:00",0.6,4.8,17,0,121.221667,24.953278,68
竹山,南投縣,17,,良好,0.7,0.17,2.5,7.6,14,0,5,7.7,2.6,0.6,213,"2023/07/26 20:00:00",0.1,3.3,17,0,120.677306,23.756389,69
永和,新北市,19,,良好,1.1,0.15,14.3,12.6,12,6,3.8,6,2.2,2.9,92,"2023/07/26 20:00:00",0.2,5.8,12,1,121.516306,25.017,70
復興,高雄市,40,,良好,2.1,1.07,0.2,15.5,12,4,24.3,37.6,13.2,0.3,211,"2023/07/26 20:00:00",0.5,9.8,18,0,120.312017,22.608711,71
埔里,南投縣,12,,良好,0.9,0.14,12.7,9.6,11,0,1.8,3,1.1,1.7,159,"2023/07/26 20:00:00",0.2,0.2,12,0,120.967903,23.968842,72
馬祖,連江縣,22,,良好,0.4,0.07,14.8,18.7,21,9,1.3,2,0.7,2.2,294,"2023/07/26 20:00:00",0,6.7,20,0,119.93149378,26.15188416,75
金門,金門縣,31,,良好,0.9,0.11,17.4,23.6,17,9,2.7,3.6,0.9,3.4,25,"2023/07/26 20:00:00",0.1,9.2,31,0,118.312256,24.432133,77
